Code,Title,CreditPoints
CITS5507,High Performance Computing,6
CITS5508,Machine Learning,6
CITS5551,Software Engineering Design Project 1,6
CITS5552,Software Engineering Design Project 2,6
CITS5553,Data Science Capstone Project,6
CITX0001,Foundation Computing,6
CITX1001,Software Engineering with Java,6
CITX1003,Introduction to Cybersecurity,6
CITX1401,Computational Thinking with Python,6
CITX1402,Relational Database Management Systems,6
CIVL2008,Structural Analysis,6
CIVL2551,Civil Engineering Practice,6
CIVL3401,Applied Geomechanics,6
CIVL3402,Hydraulics for Civil Engineers,6
CIVL3403,Structural Concrete Design,6
CIVL3404,Structural Steel Design,6
CIVL4401,Applied Geomechanics,6
CIVL4402,Fluid Mechanics for Civil Engineers,6
CIVL4403,Structural Concrete,6
CIVL4404,Structural Steel,6
CIVL4430,Transportation and Pavement Engineering,6
CIVL5501,Structural Dynamics,6
CIVL5502,Transportation Engineering,6
CIVL5503,Underground Construction,6
CIVL5504,Offshore Geomechanics,6
CIVL5505,Design of Offshore Energy Facilities,6
CIVL5506,Pavement Design,6
CIVL5550,Civil Infrastructure Design Project,6
CIVL5551,Engineering Surveying and Design,6
CIVL5552,Civil Structural Design Project,6
CLAN1001,"Myths of the Greeks and Romans: Story, History and Reinvention",6
CLAN1002,Glory and Grandeur: An Introduction to the Ancient World,6
CLAN1101,Latin 1,6
CLAN2001,The Golden Age of Athens,6
CLAN2002,Power and Politics in the Roman Empire: 44 BC-AD 68,6
CLAN2102,Latin 2,6
CLAN2103,Latin 3,6
CLAN2201,Greek 1,6
CLAN2202,Greek 2,6
CLAN3002,The Emergence of Greece,6
CLAN3004,Alexander the Great,6
CLAN3006,The Roman Revolution,6
CLAN3008,Roman Britain,6
CLAN3009,"Religion, Society and the Divine from Augustus to Muhammad",6
CLAN3010,Greece Without Borders: The Hellenistic World,6
CLAN3011,"Sex, Gender, and the Body in the Greco-Roman World",6
CLAN3012,Classical Receptions: Greco-Roman Culture After Antiquity,6
CLAN3104,Latin 4,6
CLAN3203,Greek 3,6
CLAN3204,Greek 4,6
CLAN4101,Researching the Classical World 1—Problems and Resources,6
CLAN4102,Researching the Classical World 2: Special Topics in Classical Studies,6
CLAN4103,Ancient Greek Language and Literature,6
CLAN4104,Latin Language and Literature,6
CLAN4105,"Literature, Narrative, History",6
CLAN4107,The Written Word,6
COMM1001,"Power, Participation and Meaning",6
COMM1002,"Cultures, New Media and Communications",6
COMM1003,Understanding Media,6
COMM1004,Storytelling Across Media Industries,6
COMM2001,Media Influence,6
COMM2002,Digital Media,6
COMM2004,Journalism Practice and Emerging Audiences,6
COMM2005,Media Production Development,6
COMM2006,Communication Strategy and Engagement,6
COMM3001,Media Enterprise in Transition,6
COMM3002,Media Production Project,6
COMM3003,Designing Interactive Media,6
COMM3004,Journalism and Strategic Communication,6
COMM3005,Media and Communication Career Portfolio,6
COMM3006,Media Innovation and Social Futures,6
COMM3901,Television and Video Production,6
COMM4105,Research Methods in Media and Communication,6
COMM4106,Advanced Topics in Media and Communication,6
COMM4704,Global Media and Cross-cultural Communication,6
COMM5104,Public Communication,6
COMM5200,Digital Advocacy,6
COMM5303,Communication Strategies for Change,6
COMM5604,Media Governance,6
COMM5605,Issues in Contemporary Global Journalism,6
COMM5701,Strategic Communications in a Digital Era,6
COMM5702,Digital Media: Theory and Practice,6
COMM5703,Strategic Communications Planning and Management,6
COMM5704,Global Media and Cross-cultural Communication,6
COMM5705,Representation and Promotion,6
COMM5706,Accountability and Responsibility in the Media,6
COMX0001,Media and Communication,6
DENT3001,Body Systems 1,6
DENT3002,Body Systems 2,6
DENT3003,Anatomy and Oral Sciences,6
DENT3004,Introduction to Clinical Dentistry,6
DENT3005,General Medicine and Pharmacology,6
DENT3006,Biofilm Sciences and Cariology,6
DENT3007,Fundamentals of Clinical Dentistry 1,6
DENT3008,Dental Public Health and Research Methodology,6
DENT4121,Diagnostic and Surgical Sciences 1,24
DENT4122,Diagnostic and Surgical Sciences 2,24
DENT4123,Integrated Dental Sciences Remediation Unit,24
DENT4211,Developmental and behavioural sciences 1,6
DENT4212,Fundamentals of Clinical Dentistry 2 Part 1,6
DENT4213,Fundamentals of Clinical Dentistry 2 Part 2,6
DENT4214,Fundamentals of Clinical Dentistry 2 Part 3,6
DENT4215,Introduction to Clinical Dental Practice 1,6
DENT4216,Fundamentals of Clinical Dentistry 3 Part 1,6
DENT4217,Fundamentals of Clinical Dentistry 3 Part 2,6
DENT4218,Introduction to Clinical Dental Practice 2 Part 1,6
DENT4219,Introduction to Clinical Dental Practice 2 Part 2,6
DENT4221,Diagnostic and surgical sciences 3,6
DENT4231,Restorative and Rehabilitative Sciences 1,6
DENT4233,Restorative and Rehabilitative Sciences 3,6
DENT4234,Restorative and Rehabilitative Sciences 4,6
DENT4235,Restorative and Rehabilitative Sciences 5,6
DENT4236,Restorative and Rehabilitative Sciences 6,6
DENT5301,Oral Medicine I,6
DENT5302,"Research Design, Statistics and Dental Public Health",6
DENT5303,Complex Oral Rehabilitation 1,6
DENT5304,Child and Adolescent Comprehensive Oral Care 1 and Orthodontics,6
DENT5305,Special Needs Dentistry and Orofacial Pain,6
DENT5306,"Introduction to Dental Practice, Maxillofacial Infections and Trauma",6
DENT5307,Complex Oral Rehabilitation 2,6
DENT5308,Child and Adolescent Comprehensive Oral Care 2 and Research,6
DENT5310,Integrated Dental Practice 1,24
